Icon10k	e951
MoreVert	e5d4
Mosque	eab2
MotionBlur	f0d0
MotionMode	f842
MotionPhotosAuto	f03a
MotionPhotosOff	e9c0
MotionPhotosOn	e9c1
MotionPhotosPause	f227
MotionPhotosPaused	f227
MotionPlay	f40b
MotionSensorActive	e792
MotionSensorAlert	e784
MotionSensorIdle	e783
MotionSensorUrgent	e78e
Motorcycle	e91b
MountainFlag	f5e2
MountainSteam	f282
Mouse	e323
MouseLock	f490
MouseLockOff	f48f
Move	e740
MoveDown	eb61
MoveGroup	f715
MoveItem	f1ff
MoveLocation	e741
MoveSelectionDown	f714
MoveSelectionLeft	f713
MoveSelectionRight	f712
MoveSelectionUp	f711
MoveToInbox	e168
MoveUp	eb64
MovedLocation	e594
Movie	e404
MovieCreation	e404
MovieEdit	f840
MovieEditOff	fff7d
MovieFilter	e43a
MovieInfo	e02d
MovieOff	f499
MovieSpeaker	f2a3
Moving	e501
MovingBeds	e73d
MovingMinistry	e73e
Mp	e9c3
Multicooker	e293
MultilineChart	e6df
MultimodalHandEye	f41b
MultipleAirports	efab
MultipleStop	f1b9
Museum	ea36
MusicCast	eb1a
MusicHistory	f2c1
MusicNote	e405
MusicNote2	fffd8
MusicNoteAdd	f391
MusicOff	e440
MusicVideo	e063
MyLocation	e55c
Mystery	f5e1
Nat	ef5c
Nature	e406
NaturePeople	e407
NavigateBefore	e5cb
NavigateNext	e5cc
Navigation	e55d
NearMe	e569
NearMeDisabled	f1ef
Nearby	e6b7
NearbyError	f03b
NearbyOff	f03c
Nephrology	e10d
NestAudio	ebbf
NestCamFloodlight	f8b7
NestCamIndoor	f11e
NestCamIq	f11f
NestCamIqOutdoor	f120
NestCamMagnetMount	f8b8
NestCamOutdoor	f121
NestCamStand	f8b9
NestCamWallMount	f8ba
NestCamWiredStand	ec16
NestClockFarsightAnalog	f8bb
NestClockFarsightDigital	f8bc
NestConnect	f122
NestDetect	f123
NestDisplay	f124
NestDisplayMax	f125
NestDoorbellVisitor	f8bd
NestEcoLeaf	f8be
NestFarsightCool	f27d
NestFarsightDual	f27c
NestFarsightEco	f27b
NestFarsightHeat	f27a
NestFarsightSeasonal	f279
NestFarsightWeather	f8bf
NestFoundSavings	f8c0
NestGaleWifi	f579
NestHeatLinkE	f126
NestHeatLinkGen3	f127
NestHelloDoorbell	e82c
NestLocatorTag	f8c1
NestMini	e789
NestMultiRoom	f8c2
NestProtect	e68e
NestRemote	f5db
NestRemoteComfortSensor	f12a
NestSecureAlarm	f12b
NestSunblock	f8c3
NestTag	f8c1
NestThermostat	e68f
NestThermostatEEu	f12d
NestThermostatGen3	f12e
NestThermostatSensor	f12f
NestThermostatSensorEu	f130
NestThermostatZirconiumEu	f131
NestTrueRadiant	f8c4
NestWakeOnApproach	f8c5
NestWakeOnPress	f8c6
NestWifiGale	f132
NestWifiMistral	f133
NestWifiPoint	f134
NestWifiPointVento	f134
NestWifiPro	f56b
NestWifiPro2	f56a
NestWifiRouter	f133
NetworkCell	e1b9
NetworkCheck	e640
NetworkIntelNode	f371
NetworkIntelligence	efac
NetworkIntelligenceHistory	f5f6
NetworkIntelligenceUpdate	f5f5
NetworkLocked	e61a
NetworkManage	f7ab
NetworkNode	f56e
NetworkPing	ebca
NetworkWifi	e1ba
NetworkWifi1Bar	ebe4
NetworkWifi1BarLocked	f58f
NetworkWifi2Bar	ebd6
NetworkWifi2BarLocked	f58e
NetworkWifi3Bar	ebe1
NetworkWifi3BarLocked	f58d
NetworkWifiLocked	f532
Neurology	e10e
NewLabel	e609
NewReleases	ef76
NewWindow	f710
News	e032
Newsmode	efad
Newspaper	eb81
Newsstand	e9c4
NextPlan	ef5d
NextWeek	e16a
Nfc	e1bb
NfcOff	f369
NightShelter	f1f1
NightSightAuto	f1d7
NightSightAutoOff	f1f9
NightSightMax	f6c3
Nightlife	ea62
Nightlight	f03d
NightlightRound	f03d
NightsStay	f174
NoAccounts	f03e
NoAdultContent	f8fe
NoBackpack	f237
NoCrash	ebf0
NoDrinks	f1a5
NoEncryption	f03f
NoEncryptionGmailerrorred	f03f
NoFlash	f1a6
NoFood	f1a7
NoLuggage	f23b
NoMeals	f1d6
NoMeetingRoom	eb4e
NoPhotography	f1a8
NoSim	e1ce
NoSound	e710
NoStroller	f1af
NoTransfer	f1d5
NoiseAware	ebec
NoiseControlOff	ebf3
NoiseControlOn	f8a8
NordicWalking	e50e
North	f1e0
NorthEast	f1e1
NorthWest	f1e2
NotAccessible	f0fe
NotAccessibleForward	f54a
NotInterested	f08c
NotListedLocation	e575
NotStarted	f0d1
Note	e66d
NoteAdd	e89c
NoteAlt	f040
NoteStack	f562
NoteStackAdd	f563
Notes	e26c
NotificationAdd	e399
NotificationAudio	eec1
NotificationAudioOff	eec0
NotificationImportant	e004
NotificationMultiple	e6c2
NotificationSettings	f367
NotificationSound	f353
Notifications	e7f5
NotificationsActive	e7f7
NotificationsNone	e7f5
NotificationsOff	e7f6
NotificationsPaused	e7f8
NotificationsUnread	f4fe
Numbers	eac7
Nutrition	e110
Ods	e6e8
Odt	e6e9
OfflineBolt	e932
OfflinePin	e90a
OfflinePinOff	f4d0
OfflineShare	f2de
OilBarrel	ec15
Okonomiyaki	f281
OnDeviceTraining	ebfd
OnHubDevice	e6c3
Oncology	e114
OndemandVideo	e63a
OnlinePrediction	f0eb
Onsen	f6f8
Opacity	e91c
OpenInBrowser	e89d
OpenInFull	f1ce
OpenInNew	e89e
OpenInNewDown	f70f
OpenInNewOff	e4f6
OpenInPhone	f2d2
OpenJam	efae
OpenRun	f4b7
OpenWith	e89f
Ophthalmology	e115
OralDisease	e116
Orbit	f426
OrderApprove	f812
OrderPlay	f811
Orders	eb14
Orthopedics	f897
OtherAdmission	e47b
OtherHouses	e58c
Outbound	e1ca
Outbox	ef5f
OutboxAlt	eb17
OutdoorGarden	e205
OutdoorGrill	ea47
OutgoingMail	f0d2
Outlet	f1d4
OutlinedFlag	f0c6
Outpatient	e118
OutpatientMed	e119
Output	ebbe
OutputCircle	f70e
Oven	e9c7
OvenGen	e843
Overview	e4a7
OverviewKey	f7d4
Owl	f3b4
OxygenSaturation	e4de
P2p	f52a
Pace	f6b8
Pacemaker	e656
Package	e48f
Package2	f569
Padding	e9c8
Padel	f2a7
PageControl	e731
PageFooter	f383
PageHeader	f384
PageInfo	f614
PageMenuIos	eefb
Pageless	f509
Pages	e7f9
Pageview	e8a0
Paid	f041
Palette	e40a
Pallet	f86a
PanTool	e925
PanToolAlt	ebb9
PanZoom	f655
Panorama	e691
PanoramaFishEye	e40c
PanoramaHorizontal	e40d
PanoramaPhotosphere	e9c9
PanoramaVertical	e40e
PanoramaWideAngle	e40f
Paragliding	e50f
ParentChildDining	f22d
Park	ea63
ParkingMeter	f28a
ParkingSign	f289
ParkingValet	f288
PartlyCloudyDay	f172
PartlyCloudyNight	f174
PartnerExchange	f7f9
PartnerHeart	ef2e
PartnerReports	efaf
PartyMode	e7fa
Passkey	f87f
Passport	eec4
Password	f042
Password2	f4a9
Password2Off	f4a8
PatientList	e653
Pattern	f043
Pause	e034
PauseCircle	e1a2
PauseCircleFilled	e1a2
PauseCircleOutline	e1a2
PausePresentation	e0ea
Payment	e8a1
PaymentArrowDown	f2c0
PaymentCard	f2a1
Payments	ef63
PedalBike	eb29
Pediatrics	e11d
PenSize1	f755
PenSize2	f754
PenSize3	f753
PenSize4	f752
PenSize5	f751
Pending	ef64
PendingActions	f1bb
Pentagon	eb50
People	ea21
PeopleAlt	ea21
PeopleOutline	ea21
PeopleSizeDecrease	ffeb1
PeopleSizeIncrease	ffeb0
Percent	eb58
PercentDiscount	f244
PerformanceMax	e51a
Pergola	e203
PermCameraMic	e8a2
PermContactCalendar	e8a3
PermDataSetting	e8a4
PermDeviceInformation	f2dc
PermIdentity	f0d3
PermMedia	e8a7
PermPhoneMsg	e8a8
PermScanWifi	e8a9
Person	f0d3
Person2	f8e4
Person3	f8e5
Person4	f8e6
PersonAdd	ea4d
PersonAddAlt	ea4d
PersonAddDisabled	e9cb
PersonAlert	f567
PersonApron	f5a3
PersonBook	f5e8
PersonCancel	f566
PersonCelebrate	f7fe
PersonCheck	f565
PersonEdit	f4fa
PersonFilled	f0d3
PersonHeart	f290
PersonOff	e510
PersonOutline	f0d3
PersonPin	e55a
PersonPinCircle	e56a
PersonPlay	f7fd
PersonRaisedHand	f59a
PersonRemove	ef66
PersonSearch	f106
PersonShield	e384
PersonText	eebd
PersonalBag	eb0e
PersonalBagOff	eb0f
PersonalBagQuestion	eb10
PersonalInjury	e6da
PersonalPlaces	e703
PersonalVideo	e63b
PestControl	f0fa
PestControlRodent	f0fd
PetSupplies	efb1
Pets	e91d
Phishing	ead7
Phone	f0d4
PhoneAlt	f0d4
PhoneAndroid	f2db
PhoneBluetoothSpeaker	e61b
PhoneCallback	e649
PhoneCancel	fff9d
PhoneDisabled	e9cc
PhoneEnabled	e9cd
PhoneForwarded	e61c
PhoneInTalk	e61d
PhoneIphone	f2da
PhoneLocked	e61e
PhoneMissed	e61f
PhonePaused	e620
Phonelink	e326
PhonelinkErase	f2ea
PhonelinkLock	f2be
PhonelinkOff	f7a5
PhonelinkRing	f2e8
PhonelinkRingOff	f7aa
PhonelinkSetup	f2d9
Photo	e693
PhotoAlbum	e411
PhotoAutoMerge	f530
PhotoCamera	e412
PhotoCameraBack	ef68
PhotoCameraFront	ef69
PhotoFilter	e43b
PhotoFrame	f0d9
PhotoLibrary	e413
PhotoPrints	efb2
PhotoSizeSelectActual	e693
PhotoSizeSelectLarge	e433
PhotoSizeSelectSmall	e434
Php	eb8f
PhysicalTherapy	e11e
Piano	e521
PianoOff	e520
Pickleball	f2a6
PictureAsPdf	e415
PictureInPicture	e8aa
PictureInPictureAlt	e911
PictureInPictureCenter	f550
PictureInPictureLarge	f54f
PictureInPictureMedium	f54e
PictureInPictureMobile	f517
PictureInPictureOff	f52f
PictureInPictureSmall	f54d
PieChart	f0da
PieChartFilled	f0da
PieChartOutline	f0da
PieChartOutlined	f0da
Pill	e11f
PillOff	f809
Pin	f045
PinDrop	e55e
PinEnd	e767
PinHistory	fff2e
PinInvoke	e763
PinRoad	fff2d
PinRoad2	ffeeb
Pinboard	f3ab
PinboardUnread	f3ac
Pinch	eb38
PinchZoomIn	f1fa
PinchZoomOut	f1fb
Pip	f64d
PipExit	f70d
PivotTableChart	e9ce
Place	f1db
PlaceItem	f1f0
Plagiarism	ea5a
PlaneContrails	f2ac
Planet	f387
PlannerBannerAdPt	e692
PlannerReview	e694
PlayArrow	e037
PlayCircle	e1c4
PlayDisabled	ef6a
PlayForWork	e906
PlayLesson	f047
PlayMusic	e6ee
PlayPause	f137
PlayShapes	f7fc
Playground	f28e
Playground2	f28f
PlayingCards	f5dc
PlaylistAdd	e03b
PlaylistAddCheck	e065
PlaylistAddCheckCircle	e7e6
PlaylistAddCircle	e7e5
PlaylistPlay	e05f
PlaylistRemove	eb80
PlugConnect	f35a
Plumbing	f107
PlusOne	e800
Podcasts	f048
Podiatry	e120
Podium	f7fb
PointOfSale	f17e
PointScan	f70c
PokerChip	f49b
Policy	ea17
PolicyAlert	f407
Poll	f0cc
Polyline	ebbb
Polymer	e8ab
Pool	eb48
PortableWifiOff	f087
Portrait	e851
PositionBottomLeft	f70b
PositionBottomRight	f70a
PositionTopRight	f709
Post	e705
PostAdd	ea20
PottedPlant	f8aa
Power	e63c
PowerInput	e336
PowerOff	e646
PowerRounded	f8c7
PowerSettingsCircle	f418
PowerSettingsNew	f8c7
PrayerTimes	f838
PrecisionManufacturing	f049
Pregnancy	f5f1
PregnantWoman	f5f1
Preliminary	e7d8
Prescriptions	e121
PresentToAll	e0df
Preview	f1c5
PreviewOff	f7af
PriceChange	f04a
PriceCheck	f04b
Print	e8ad
PrintAdd	f7a2
PrintConnect	f7a1
PrintDisabled	e9cf
PrintError	f7a0
PrintLock	f651
Priority	efb4
PriorityHigh	e645
Privacy	f148
PrivacyTip	f0dc
PrivateConnectivity	e744
Problem	e122
Procedure	e651
ProcessChart	f855
ProductionQuantityLimits	e1d1
Productivity	e296
ProgressActivity	e9d0
PromptSuggestion	f4f6
Propane	ec14
PropaneTank	ec13
Psychiatry	e123
Psychology	ea4a
PsychologyAlt	f8ea
Public	e80b
PublicOff	f1ca
Publish	e255
PublishedWithChanges	f232
Pulmonology	e124
PulseAlert	f501
PunchClock	eaa8
PushPin	f10d
QrCode	ef6b
QrCode2	e00a
QrCode2Add	f658
QrCodeScanner	f206
QueryBuilder	efd6
QueryStats	e4fc
QuestionAnswer	e8af
QuestionExchange	f7f3
QuestionMark	eb8b
Queue	e03c
QueueMusic	e03d
QueuePlayNext	e066
QuickPhrases	e7d1
QuickReference	e46e
QuickReferenceAll	f801
QuickReorder	eb15
Quickreply	ef6c
QuietTime	f159
QuietTimeActive	eb76
Quiz	f04c
RMobiledata	f04d
Radar	f04e
Radio	e03e
RadioButtonChecked	e837
RadioButtonPartial	f560
RadioButtonUnchecked	e836
Radiology	e125
RailwayAlert	e9d1
RailwayAlert2	f461
Rainy	f176
RainyHeavy	f61f
RainyLight	f61e
RainySnow	f61d
RamenDining	ea64
RampLeft	eb9c
RampRight	eb96
RangeHood	e1ea
RateReview	e560
RateReviewRtl	e706
Raven	f555
RawOff	f04f
RawOn	f050
ReadMore	ef6d
ReadinessScore	f6dd
RealEstateAgent	e73a
RearCamera	f6c2
Rebase	f845
RebaseEdit	f846
Receipt	e8b0
ReceiptLong	ef6e
ReceiptLongOff	f40a
RecentActors	e03f
RecentPatient	f808
Recenter	f4c0
Recommend	e9d2
RecordVoiceOver	e91f
Rectangle	eb54
RectangleAdd	eec8
Recycling	e760
Redeem	e8f6
Redo	e15a
ReduceCapacity	f21c
Refresh	e5d5
RegularExpression	f750
Relax	f6dc
ReleaseAlert	f654
RememberMe	f051
Reminder	e6c6
RemindersAlt	e6c6
RemoteGen	e83e
Remove	e15b
RemoveCircle	f08f
RemoveCircleOutline	f08f
RemoveDone	e9d3
RemoveFromQueue	e067
RemoveModerator	e9d4
RemoveRedEye	e8f4
RemoveRoad	ebfc
RemoveSelection	e9d5
RemoveShoppingCart	e928
ReopenWindow	f708
Reorder	e8fe
Repartition	f8e8
Repeat	e040
RepeatOn	e9d6
RepeatOne	e041
RepeatOneOn	e9d7
ReplaceAudio	f451
ReplaceImage	f450
ReplaceVideo	f44f
Replay	e042
Replay10	e059
Replay30	e05a
Replay5	e05b
ReplayCircleFilled	e9d8
Reply	e15e
ReplyAll	e15f
Report	f052
ReportGmailerrorred	f052
ReportOff	e170
ReportProblem	f083
RequestPage	f22c
RequestQuote	f1b6
ResetBrightness	f482
ResetColors	ffee2
ResetExposure	f266
ResetFocus	f481
ResetImage	f824
ResetIso	f480
ResetSettings	f47f
ResetShadow	f47e
ResetShutterSpeed	f47d
ResetTv	e9d9
ResetWhiteBalance	f47c
ResetWrench	f56c
Resize	f707
ResizeWindow	fff99
RespiratoryRate	e127
ResponsiveLayout	e9da
RestArea	f22a
RestartAlt	f053
Restaurant	e56c
RestaurantMenu	e561
Restore	e8b3
RestoreFromTrash	e938
RestorePage	e929
Resume	f7d0
Reviews	f07c
RewardedAds	efb6
Rheumatology	e128
RibCage	f898
RiceBowl	f1f5
RightClick	f706
RightPanelClose	f705
RightPanelOpen	f704
RingVolume	f0dd
RingVolumeFilled	f0dd
Ripples	e9db
Road	f472
Robot	f882
Robot2	f5d0
Rocket	eba5
RocketLaunch	eb9b
RollerShades	ec12
RollerShadesClosed	ec11
RollerSkating	ebcd
Roofing	f201
Room	f1db
RoomPreferences	f1b8
RoomService	eb49
Rotate90DegreesCcw	e418
Rotate90DegreesCw	eaab
RotateAuto	f417
RotateLeft	e419
RotateRight	e41a
RoundaboutLeft	eb99
RoundaboutRight	eba3
RoundedCorner	e920
Route	eacd
Router	e328
RouterOff	f2f4
Routine	e20c
Rowing	e921
RssFeed	e0e5
Rsvp	f055
Rtt	e9ad
Rubric	eb27
Rule	f1c2
RuleFolder	f1c9
RuleSettings	f64c
RunCircle	ef6f
RunningWithErrors	e51d
RvHookup	e642
SafetyCheck	ebef
SafetyCheckOff	f59d
SafetyDivider	e1cc
Sailing	e502
Salinity	f876
Sanitizer	f21d
Satellite	e562
SatelliteAlt	eb3a
Sauna	f6f7
Save	e161
SaveAlt	f090
SaveAs	eb60
SaveClock	f398
SavedSearch	ea11
Savings	e2eb
Scale	eb5f
Scan	f74e
ScanDelete	f74f
Scanner	e329
ScatterPlot	e268
Scene	e2a7
Schedule	efd6
ScheduleSend	ea0a
Schema	e4fd
School	e80c
Science	ea4b
ScienceOff	f542
Scooter	f471
Score	e269
Scoreboard	ebd0
ScreenLockLandscape	f2d8
ScreenLockPortrait	f2be
ScreenLockRotation	f2d6
ScreenRecord	f679
ScreenRotation	f2d5
ScreenRotationAlt	ebee
ScreenRotationUp	f678
ScreenSearchDesktop	ef70
ScreenShare	e0e2
Screenshot	f056
ScreenshotFrame	f677
ScreenshotFrame2	f374
ScreenshotKeyboard	f7d3
ScreenshotMonitor	ec08
ScreenshotRegion	f7d2
ScreenshotTablet	f697
Script	f45f
ScrollableHeader	e9dc
ScubaDiving	ebce
Sd	e9dd
SdCard	e623
SdCardAlert	f057
SdStorage	e623
Sdk	e720
Search	ef7a
SearchActivity	f3e5
SearchCheck	f800
SearchCheck2	f469
SearchGear	eefa
SearchHandsFree	e696
SearchInsights	f4bc
SearchOff	ea76
SeatCoolLeft	f331
SeatCoolRight	f330
SeatHeatLeft	f32f
SeatHeatRight	f32e
SeatRead	ffeda
SeatVentLeft	f32d
SeatVentRight	f32c
SeatWindow	ffee1
Security	e32a
SecurityKey	f503
SecurityUpdate	f2cd
SecurityUpdateGood	f073
SecurityUpdateWarning	f2d3
Segment	e94b
Select	f74d
SelectAll	e162
SelectCheckBox	f1fe
SelectToSpeak	f7cf
SelectWindow	e6fa
SelectWindow2	f4c8
SelectWindowOff	e506
SelfCare	f86d
SelfImprovement	ea78
Sell	f05b
SellCloud	fff7b
Send	e163
SendAndArchive	ea0c
SendMoney	e8b7
SendTimeExtension	eadb
SendToMobile	f2d2
SensorDoor	f1b5
SensorOccupied	ec10
SensorWindow	f1b4
Sensors	e51e
SensorsKrx	f556
SensorsKrxOff	f515
SensorsOff	e51f
SentimentCalm	f6a7
SentimentContent	f6a6
SentimentDissatisfied	e811
SentimentExcited	f6a5
SentimentExtremelyDissatisfied	f194
SentimentFrustrated	f6a4
SentimentNeutral	e812
SentimentSad	f6a3
SentimentSatisfied	e813
SentimentSatisfiedAlt	e813
SentimentStressed	f6a2
SentimentVeryDissatisfied	e814
SentimentVerySatisfied	e815
SentimentWorried	f6a1
Serif	f4ac
ServerPerson	f3bd
ServiceToolbox	e717
SetMeal	f1ea
Settings	e8b8
SettingsAccessibility	f05d
SettingsAccountBox	f835
SettingsAlert	f143
SettingsApplications	e8b9
SettingsBRoll	f625
SettingsBackupRestore	e8ba
SettingsBluetooth	e8bb
SettingsBrightness	e8bd
SettingsCell	f2d1
SettingsCinematicBlur	f624
SettingsEthernet	e8be
SettingsHeart	f522
SettingsInputAntenna	e8bf
SettingsInputComponent	e8c1
SettingsInputComposite	e8c1
SettingsInputHdmi	e8c2
SettingsInputSvideo	e8c3
SettingsMotionMode	f833
SettingsNightSight	f832
SettingsOverscan	e8c4
SettingsPanorama	f831
SettingsPhone	e8c5
SettingsPhotoCamera	f834
SettingsPower	e8c6
SettingsRemote	e8c7
SettingsScreen	ffedf
SettingsSeating	ef2d
SettingsSlowMotion	f623
SettingsSuggest	f05e
SettingsSystemDaydream	e1c3
SettingsTimelapse	f622
SettingsVideoCamera	f621
SettingsVoice	e8c8
SettopComponent	e2ac
SevereCold	ebd3
Shades	fff73
ShadesClosed	fff74
Shadow	e9df
ShadowAdd	f584
ShadowMinus	f583
ShapeLine	f8d3
ShapeRecognition	eb01
Shapes	e602
Share	e80d
ShareEta	e5f7
ShareLocation	f05f
ShareOff	f6cb
ShareReviews	f8a4
ShareWindows	f613
ShavedIce	f225
SheetsRtl	f823
ShelfAutoHide	f703
ShelfPosition	f702
Shelves	f86e
Shield	e9e0
ShieldCard	fff30
ShieldLock	f686
ShieldLocked	f592
ShieldMoon	eaa9
ShieldPerson	f650
ShieldQuestion	f529
ShieldRadar	fff2f
ShieldToggle	f2ad
ShieldWatch	f30f
ShieldWithHeart	e78f
ShieldWithHouse	e78d
Shift	e5f2
ShiftLock	f7ae
ShiftLockOff	f483
ShoeCleats	fffb3
Shop	e8c9
Shop2	e8ca
ShopTwo	e8ca
ShoppingBag	f1cc
ShoppingBagSpeed	f39a
ShoppingBasket	e8cb
ShoppingCart	e8cc
ShoppingCartCheckout	eb88
ShoppingCartOff	f4f7
Shoppingmode	efb7
ShortStay	e4d0
ShortText	e261
Shortcut	f57a
ShowChart	e6e1
Shower	f061
Shuffle	e043
ShuffleOn	e9e1
ShutterSpeed	e43d
ShutterSpeedAdd	f57e
ShutterSpeedMinus	f57d
Sick	f220
SideNavigation	e9e2
SignLanguage	ebe5
SignLanguage2	f258
SignLanguageOff	ffee4
SignalCellular0Bar	f0a8
SignalCellular1Bar	f0a9
SignalCellular2Bar	f0aa
SignalCellular3Bar	f0ab
SignalCellular4Bar	e1c8
SignalCellularAdd	f7a9
SignalCellularAlt	e202
SignalCellularAlt1Bar	ebdf
SignalCellularAlt2Bar	ebe3
SignalCellularAltOff	fff8a
SignalCellularConnectedNoInternet0Bar	f0ac
SignalCellularConnectedNoInternet4Bar	e1cd
SignalCellularNoSim	e1ce
SignalCellularNodata	f062
SignalCellularNull	e1cf
SignalCellularOff	e1d0
SignalCellularPause	f5a7
SignalDisconnected	f239
SignalWifi0Bar	f0b0
SignalWifi4Bar	f065
SignalWifi4BarLock	e1e1
SignalWifiBad	f064
SignalWifiConnectedNoInternet4	f064
SignalWifiOff	e1da
SignalWifiStatusbar4Bar	f065
SignalWifiStatusbarNotConnected	f0ef
SignalWifiStatusbarNull	f067
Signature	f74c
Signpost	eb91
SimCard	e32b
SimCardAlert	f057
SimCardDownload	f068
SimCardLock	ffec1
Simulation	f3e1
SingleArrow	ffed9
SingleBed	ea48
Sip	f069
Siren	f3a7
SirenCheck	f3a6
SirenOpen	f3a5
SirenQuestion	f3a4
Skateboarding	e511
Skeleton	f899
Skillet	f543
SkilletCooktop	f544
SkipNext	e044
SkipPrevious	e045
Skull	f89a
SkullList	f370
SlabSerif	f4ab
Sledding	e512
Sleep	e213
SleepScore	f6b7
SlideLibrary	f822
Sliders	e9e3
Slideshow	e41b
SlowMotionVideo	e068
SmartButton	f1c1
SmartCardReader	f4a5
SmartCardReaderOff	f4a6
SmartDisplay	f06a
SmartOutlet	e844
SmartScreen	f2d0
SmartToy	f06c
Smartphone	e7ba
SmartphoneCamera	f44e
SmbShare	f74b
SmokeFree	eb4a
SmokingRooms	eb4b
Sms	e625
SmsFailed	e87f
Snail	ffede
SnippetFolder	f1c7
Snooze	e046
Snowboarding	e513
Snowflake	ed5b
Snowing	e80f
SnowingHeavy	f61c
Snowmobile	e503
Snowshoeing	e514
Soap	f1b2
Soba	ef36
SocialDistance	e1cb
SocialLeaderboard	f6a0
SolarPower	ec0f
SoloDining	ef35
Sort	e164
SortByAlpha	e053
Sos	ebf7
SoundDetectionDogBarking	f149
SoundDetectionGlassBreak	f14a
SoundDetectionLoudSound	f14b
SoundSampler	f6b4
Soundbar	fff72
SoupKitchen	e7d3
Source	f1c8
SourceEnvironment	e527
SourceNotes	e12d
South	f1e3
SouthAmerica	e7e4
SouthEast	f1e4
SouthWest	f1e5
Spa	eb4c
SpaceBar	e256
SpaceDashboard	e66b
SpaceDashboard2	fff8c
SpatialAudio	ebeb
SpatialAudioOff	ebe8
SpatialGallery	ffeb6
SpatialSpeaker	f4cf
SpatialTracking	ebea
Speaker	e32d
Speaker2	fff71
Speaker3	ffeb7
SpeakerGroup	e32e
SpeakerNotes	e8cd
SpeakerNotesOff	e92a
SpeakerPhone	e0d2
SpecialCharacter	f74a
SpecificGravity	f872
SpeechToText	f8a7
SpeechToText2	ffec9
Speed	e9e4
Speed025	f4d4
Speed02x	f498
Speed05	f4e2
Speed05x	f497
Speed075	f4d3
Speed07x	f496
Speed12	f4e1
Speed125	f4d2
Speed12x	f495
Speed15	f4e0
Speed15x	f494
Speed175	f4d1
Speed17x	f493
Speed2	fff38
Speed2x	f4eb
Speed3	fff37
Speed4	fff36
SpeedCamera	f470
Spellcheck	e8ce
SplitScene	f3bf
SplitScene2	ffef7
SplitSceneDown	f2ff
SplitSceneLeft	f2fe
SplitSceneRight	f2fd
SplitSceneUp	f2fc
Splitscreen	f06d
SplitscreenAdd	f4fd
SplitscreenBottom	f676
SplitscreenLandscape	f459
SplitscreenLandscapeAdd	fffba
SplitscreenLeft	f675
SplitscreenPortrait	f458
SplitscreenRight	f674
SplitscreenTop	f673
SplitscreenVerticalAdd	f4fc
Spo2	f6db
Spoke	e9a7
Sports	ea30
SportsAndOutdoors	efb8
SportsBar	f1f3
SportsBaseball	ea51
SportsBasketball	ea26
SportsCricket	ea27
SportsEsports	ea28
SportsFootball	ea29
SportsGolf	ea2a
SportsGymnastics	ebc4
SportsHandball	ea33
SportsHockey	ea2b
SportsKabaddi	ea34
SportsMartialArts	eae9
SportsMma	ea2c
SportsMotorsports	ea2d
SportsRugby	ea2e
SportsScore	f06e
SportsSoccer	ea2f
SportsTennis	ea32
SportsVolleyball	ea31
Sprinkler	e29a
Sprint	f81f
Sql	fff95
Square	eb36
SquareCircle	eec7
SquareDot	f3b3
SquareFoot	ea49
SsidChart	eb66
Stack	f609
StackGroup	f359
StackHexagon	f41c
StackOff	f608
StackStar	f607
StackedBarChart	e9e6
StackedEmail	e6c7
StackedInbox	e6c9
StackedLineChart	f22b
Stacks	f500
StadiaController	f135
Stadium	eb90
Stairs	f1a9
Stairs2	f46c
Star	f09a
StarBorder	f09a
StarBorderPurple500	f09a
StarHalf	e839
StarOutline	f09a
StarPurple500	f09a
StarRate	f0ec
StarRateHalf	ec45
StarShine	f31d
Stars	e8d0
Stars2	f31c
Start	e089
Stat0	e697
Stat1	e698
Stat2	e699
Stat3	e69a
StatMinus1	e69b
StatMinus2	e69c
StatMinus3	e69d
StayCurrentLandscape	ed3e
StayCurrentPortrait	e7ba
StayPrimaryLandscape	ed3e
StayPrimaryPortrait	f2d3
SteeringWheelCool	ffebd
SteeringWheelHeat	f32b
Step	f6fe
StepInto	f701
StepOut	f700
StepOver	f6ff
Steppers	e9e7
Steps	f6da
Stethoscope	f805
StethoscopeArrow	f807
StethoscopeCheck	f806
Sticker	e707
StickerAdd	eec2
StickyNote	e9e8
StickyNote2	f1fc
StockMedia	f570
Stockpot	f545
Stop	e047
StopCircle	ef71
StopScreenShare	e0e3
Storage	e1db
Store	e8d1
StoreMallDirectory	e8d1
Storefront	ea12
Storm	f070
Straight	eb95
Straighten	e41c
Strategy	f5df
Stream	e9e9
StreamApps	f79f
Streetview	e56e
StressManagement	f6d9
StrikethroughS	e257
StrokeFull	f749
StrokePartial	f748
Stroller	f1ae
Style	e41d
Styler	e273
Stylus	f604
StylusBrush	f366
StylusFountainPen	f365
StylusHighlighter	f364
StylusLaserPointer	f747
StylusNote	f603
StylusPen	f363
StylusPencil	f362
SubdirectoryArrowLeft	e5d9
SubdirectoryArrowRight	e5da
Subheader	e9ea
Subject	e8d2
Subscript	f111
Subscriptions	e064
Subtitles	e048
SubtitlesGear	f355
SubtitlesOff	ef72
Subway	e56f
SubwayWalk	f287
Subwoofer	fff70
Summarize	f071
Sunny	e81a
SunnySnowing	e819
Superscript	f112
SupervisedUserCircle	e939
SupervisedUserCircleOff	f60e
SupervisorAccount	e8d3
Support	ef73
SupportAgent	f0e2
Surfing	e515
Surgical	e131
